,roc_auc_stan,roc_auc_MLS,stan_time,MLS_time
067398d2-ae28-4924-af8a-7371d0ad8d2d,,,,
bdb82773-c1cf-45c2-a966-dcd6490691b9,,,,
de5e093d-af6a-4fa7-b473-55aba82f9ced,,,,
4b31b275-3ae5-40cb-9b20-ce04413a3889,,,,
44161b3c-738f-428c-ae90-6dd0b810d1fa,,,,
f724fa54-a78e-4781-afe2-5ce28a6f3a13,,,,
ce4d30bd-c2d9-4e89-90c4-dd36c6a44cd3,,,,
c7ea4728-f795-4181-9597-42f0b6723ada,,,,
0fd03982-e4b0-4faf-ab25-c9823a9cea34,,,,
94fbb49f-48e3-4c01-b3aa-435a27474969,,,,
b8784e43-d3f1-4beb-a314-cc909633f899,,,,
26ac620e-8b32-4a48-a3eb-1a1c5acfeffe,,,,
c84a46b3-731a-4987-abaa-b9fdc0d19573,,,,
15abb292-0094-4125-abc1-f51f4cdba908,,,,
b3bbebbe-98da-4ccb-ae16-a3460e9c75b6,,,,
260982af-a1fd-4e58-b1e5-8147f99e87b1,,,,
4d1cff36-ad3e-4126-bd33-156278891963,,,,
